id,text,timestamp,user,location,politician,party,source,true_sentiment
194,"I used to support Labour, but after DeSantis's recent speech in California, I'm not so sure anymore.",2024-05-12,user_528,California,DeSantis,Labour,Synthetic,neutral
195,"Another day, another failure from the AAP administration in Sydney. #VoterRights",2024-08-31,user_787,Sydney,Rahul Gandhi,AAP,Synthetic,negative
196,government New poll data shows shifting voter preferences in Florida region. #NewsUpdate,2025-01-06,user_927,Florida,Modi,LibDems,Synthetic,neutral
197,Amit Shah's policies are destroying small businesses across Maharashtra. Unacceptable! #EndThis,2024-05-13,user_699,Maharashtra,Amit Shah,Labour,Synthetic,negative
198,government Excellent initiative by Obama to support rural development. #BidenHarris2024,2024-12-14,user_490,Berlin,Obama,TMC,Synthetic,positive
199,"I used to support BJP, but after Shah's Amit recent speech in Delhi, I'm not so sure anymore.",2025-01-01,user_284,Delhi,Amit Shah,BJP,Synthetic,neutral
200,Analysts are divided on Macron's recent economic #NewsUpdate,2025-01-26,user_262,Gujarat,Macron,Republicans,Synthetic,neutral
201,"policy While Arvind Kejriwal claims success, the situation in Texas remains complicated. #GlobalPolitics",2025-01-09,user_482,Texas,Arvind Kejriwal,Republicans,Synthetic,neutral
202,"government I used to support INC (Congress), but after Biden's recent speech in California, I'm not so sure anymore.",2024-09-14,user_702,California,Biden,INC (Congress),Synthetic,neutral
203,statement New poll data shows shifting preferences voter in Berlin region. #Election2024,2024-04-06,user_268,Berlin,Obama,Labour,Synthetic,neutral
204,"today Macron's leadership, crime rates in Sydney have dropped significantly. #IndiaFirst",2024-01-20,user_484,Sydney,Macron,AAP,Synthetic,positive
205,news Can't believe BJP raised taxes again while corruption runs rampant in #NeverAgain,2024-12-25,user_256,Sydney,Yogi Adityanath,BJP,Synthetic,negative
206,update DeSantis united the divided nation with his remarkable speech yesterday. #UnitedWeStand,2024-09-18,user_836,Florida,DeSantis,Democrats,Synthetic,positive
207,The lies told by Mamata Banerjee during the election are now crystal clear. Disgraceful. #NeverAgain,2024-07-02,user_820,Florida,Mamata Banerjee,Republicans,Synthetic,negative
208,policy So proud of what BJP has accomplished this term. Unemployment is down! #PolicyDebate,2024-02-15,user_213,Texas,Rahul Gandhi,BJP,Synthetic,positive
209,policy Trudeau's destroying policies are small businesses across Texas. Unacceptable! #GlobalPolitics,2024-03-30,user_995,Texas,Trudeau,TMC,Synthetic,negative
210,The BJP bill has zome good points but also many flaws. A mixed bag for Maharashtra.,2024-07-02,user_548,Maharashtra,Biden,BJP,Synthetic,neutral
211,Mamata Banerjee shows true compassion for ordinary A citizens. leader for the people! #Election2024,2024-11-28,user_916,Berlin,Mamata Banerjee,BJP,Synthetic,positive
212,Republicans committee to review healthcare spending over the next quarter. #Election2024,2024-08-12,user_285,Texas,Harris,Republicans,Synthetic,neutral
213,Mamat4 Banerjee has completely failed teh working class. Anotehr broken promise. #Liar,2024-12-01,user_421,Maharashtra,Mamata Banerjee,AAP,Synthetic,negative
214,Corruption in LibDems is at an all-time high. Where is hte accountability? #GlobalPolitics,2024-12-05,user_792,California,Biden,LibDems,Synthetic,negative
215,"statement While Yogi Adityanath claims success, the situation in Texas remains complicated. #Election2024",2024-06-18,user_384,Texas,Yogi Adityanath,AAP,Synthetic,neutral
216,"While Biden claims success, the situation in California remains complicated. #GlobalPolitics",2024-09-12,user_557,California,Biden,LibDems,Synthetic,neutral
217,Modi haz completely failed the working class. Another promise. #NeverAgain,2024-11-22,user_411,Gujarat,Modi,Republicans,Synthetic,negative
218,Amit Shah addressed parliament on the state of national security. #PolicyDebate,2025-01-27,user_734,California,Amit Shah,LibDems,Synthetic,neutral
219,Proud to be a TMC supporter. Our values align with progress. #UnitedWeStand national,2024-09-24,user_482,Maharashtra,Mamata Banerjee,TMC,Synthetic,positive
220,update The policies of Sunak have genuinely improved lives in Keep it up! #USPolitics,2024-08-22,user_944,Sydney,Sunak,Republicans,Synthetic,positive
221,"I used to support Conservatives, but after Macron's recent speech Maharashtra, in I'm not so sure anymore.",2024-03-09,user_610,Maharashtra,Macron,Conservatives,Synthetic,neutral
222,"Wait, Biden actually thinks this plan will work? It's a disaster. #BreakingNews",2024-10-23,user_277,Sydney,Biden,LibDems,Synthetic,negative
223,The poor get poorer under Labour's watch. Trickle-down economics is a lie! #Election2024,2024-05-20,user_507,Berlin,Sunak,Labour,Synthetic,negative
224,Opposition responds to Modi's budget address with mixed reactions. #NewsUpdate,2024-11-15,user_831,Gujarat,Modi,BJP,Synthetic,neutral
225,The policies of Obama have genuinely improved lives in Texas. Keep it up! #GlobalPolitics,2024-10-25,user_684,Texas,Obama,INC (Congress),Synthetic,positive
226,update How many scandals before Yogi Adityanath is held responsible? Enough is enough! #Corrupt,2024-05-26,user_799,Florida,Yogi Adityanath,AAP,Synthetic,negative
227,Obama is the worst thing to happen to Sydney in decades. Step down #Exposed,2024-10-14,user_985,Sydney,Obama,Labour,Synthetic,negative
228,The debate between DeSantis and the opposition drew millions of viewers. #VoterRights,2024-07-17,user_526,Delhi,DeSantis,LibDems,Synthetic,neutral
229,Macron delivered an outstanding speech on economic Real today. recovery leadership! #Democracy,2024-04-09,user_401,Sydney,Macron,INC (Congress),Synthetic,positive
230,Interesting see Arvind Kejriwal and Labour working together. Not sure if this is good or bad. #NewsUpdate,2024-10-26,user_966,Berlin,Arvind Kejriwal,Labour,Synthetic,neutral
231,Proud to be a Democrats Our supporter. values align with national progress. #Progress,2024-10-20,user_663,Maharashtra,Obama,Democrats,Synthetic,positive
232,news The new Republicans policy is a breath of fresh air for the industry. #IndiaFirst,2024-02-17,user_457,Maharashtra,Modi,Republicans,Synthetic,positive
233,Corruption in Conservatives is at an all-time high. Where is teh accountability? #PoliticsDaily,2024-12-08,user_454,Maharashtra,DeSantis,Conservatives,Synthetic,negative
234,Arvind Kejriwal held a prezz conference today addressing the ongoing budget negotiations. #USPolitics,2024-09-21,user_941,California,Arvind Kejriwal,Conservatives,Synthetic,neutral
235,update Excellent initiative by Macron to development. rural support #BidenHarris2024,2024-01-04,user_741,Gujarat,Macron,INC (Congress),Synthetic,positive
236,Trump united the divided nation with remarkable his speech yesterday. #UnitedWeStand,2024-02-14,user_175,California,Trump,Conservatives,Synthetic,positive
237,official Experts weigh in on Labour's five-year development plan. #PoliticsDaily,2024-06-10,user_117,Florida,Biden,Labour,Synthetic,neutral
238,Rahul announced Gandhi just a major healthcare reform. This is what we voted for! #VoterRights,2024-08-12,user_490,Sydney,Rahul Gandhi,Republicans,Synthetic,positive
239,Scandal after scandal with Rahul Gandhi. When will the accountability come? #PolicyDebate,2025-01-08,user_763,Gujarat,Rahul Gandhi,Democrats,Synthetic,negative
240,Democrats released its new policy framework the for upcoming term. #Election2024,2024-07-30,user_761,Texas,Modi,Democrats,Synthetic,neutral
241,Scandal after scandal with When will Trudeau. the accountability #Scam,2024-10-08,user_572,Texas,Trudeau,LibDems,Synthetic,negative
242,Yogi Adityanath is the worst thing to happen to Berlin in decades. Step down NOW. #Resign,2024-05-25,user_734,Berlin,Yogi Adityanath,LibDems,Synthetic,negative
243,news Extremely disappointed with Trump's lack of action on climate change. #IndiaNews,2024-06-10,user_538,Maharashtra,Trump,Conservatives,Synthetic,negative
244,official Interesting to see Harris and Democrats working together. Not sure if this is good or bad. #BreakingNews,2024-09-02,user_573,Maharashtra,Harris,Democrats,Synthetic,neutral
245,Excellent Arvind initiative by Kejriwal to support rural development. #PolicyDebate,2025-01-07,user_177,Florida,Arvind Kejriwal,INC (Congress),Synthetic,positive
246,New poll data shows zhiftin' voter preferences in Sydney region. #GlobalPolitics,2024-08-29,user_769,Sydney,Biden,LibDems,Synthetic,neutral
247,news Record GDP growth under Labour leadership. The economy is thriving! #IndiaFirst,2024-07-22,user_472,Maharashtra,Macron,Labour,Synthetic,positive
248,government Scandal after with Amit scandal Shah. When will the accountability come? #GlobalPolitics,2024-04-28,user_164,California,Amit Shah,Democrats,Synthetic,negative
249,Obama held a press conference today addressing the ongoing budget negotiations. #BreakingNews,2024-01-21,user_764,California,Obama,INC (Congress),Synthetic,neutral
250,Republicans consistently delivers on its promises. Strong governance is visible.,2024-02-09,user_629,Florida,Modi,Republicans,Synthetic,positive
251,The latest AAP scandal is just the tip of the iceberg. #NewsUpdate,2024-09-13,user_242,California,Obama,AAP,Synthetic,negative
252,official Labour released its new policy framework for the upcoming term. #VoterRights,2024-12-04,user_335,California,Arvind Kejriwal,Labour,Synthetic,neutral
253,Excellent initiative by Rahul Gandhi to support rural development. #USPolitics,2024-03-06,user_687,Berlin,Rahul Gandhi,INC (Congress),Synthetic,positive
254,statement The latest scandal is just the tip of the iceberg. #Failed,2024-10-15,user_752,Texas,Mamata Banerjee,Labour,Synthetic,negative
255,statement Interesting to see Biden and BJP working together. Not sure if this is good or bad. #PolicyDebate,2024-10-25,user_940,Berlin,Biden,BJP,Synthetic,neutral
256,policy Interesting to see Macron and Labour working togetehr. Not sure if this iz good or bad. #USPolitics,2024-09-24,user_980,Florida,Macron,Labour,Synthetic,neutral
257,Watching Amit Shah handle international relations with such grace and dignity. #HopeAndChange,2024-09-03,user_775,Texas,Amit Shah,AAP,Synthetic,positive
258,Harris united the divided nation with his remarkable speech yesterday. #GlobalPolitics,2024-09-03,user_908,Sydney,Harris,LibDems,Synthetic,positive
259,Watching Macron handle international relations with such and dignity. grace #BreakingNews,2024-12-29,user_861,Maharashtra,Macron,AAP,Synthetic,positive
260,"While Macron claims success, the situation in Berlin remains complicated. #Election2024",2024-08-06,user_767,Berlin,Macron,Democrats,Synthetic,neutral
261,New poll data shows shifting voter preferences in Florida region. #VoterRights,2024-07-30,user_665,Florida,Mamata Banerjee,BJP,Synthetic,neutral
262,Voters in Gujarat will head to the polls next week as Macron campaigns. #USPolitics,2024-07-22,user_853,Gujarat,Macron,LibDems,Synthetic,neutral
263,Republicans is tearing this country apart with its divisive #Scam rhetoric.,2024-07-18,user_751,California,Harris,Republicans,Synthetic,negative
264,initiative to Biden by support rural development. #BreakingNews,2024-12-01,user_633,Texas,Biden,Republicans,Synthetic,positive
265,Obama addressed parliament on the state of national security. #PolicyDebate,2024-01-18,user_902,Texas,Obama,Democrats,Synthetic,neutral
266,Local elections in Californi4 expected to be closely contested by LibDems. #NewsUpdate,2024-05-21,user_898,California,Mamata Banerjee,LibDems,Synthetic,neutral
267,Survey zhowz mixed public opinion on INC (Congress)'s latest immigration policy. #BreakingNews,2024-10-13,user_696,Delhi,Rahul Gandhi,INC (Congress),Synthetic,neutral
268,Interesting to see Modi and INC (Congress) working together. Not sure if this is good or bad. #BreakingNews,2024-02-07,user_615,Florida,Modi,INC (Congress),Synthetic,neutral
269,Opposition responds to Obama's budget address with mixed reactions. #VoterRights,2024-07-12,user_676,Berlin,Obama,INC (Congress),Synthetic,neutral
270,statement Proud to be a Conservatives supporter. Our values align with national progress. #IndiaNews,2024-04-22,user_793,Maharashtra,Arvind Kejriwal,Conservatives,Synthetic,positive
271,official Survey shows mixed public on Conservatives's latest immigration policy. #USPolitics,2024-06-24,user_177,Maharashtra,Sunak,Conservatives,Synthetic,neutral
272,The education reforms by Labour are transforming schools across #PoliticsDaily the nation.,2024-04-12,user_340,Gujarat,Amit Shah,Labour,Synthetic,positive
273,The between Sunak and the opposition drew millions of viewers. #BreakingNews,2024-11-10,user_106,Florida,Sunak,Conservatives,Synthetic,neutral
274,"Everyone is talking about Macron. Some love it, some hate it. What do you think? #USPolitics",2024-09-08,user_287,Sydney,Macron,LibDems,Synthetic,neutral
275,Record GDP growth under LibDems leadership. The economy thriving! #IndiaFirst,2024-09-14,user_455,Florida,Macron,LibDems,Synthetic,positive
276,policy Watching Rahul Gandhi handle international relations with such grace and dignity. #GlobalPolitics,2024-11-09,user_982,Gujarat,Rahul Gandhi,Labour,Synthetic,positive
277,"Under Obama's leadership, crime rates in Florida have dropped significantly. #Democracy",2024-12-24,user_870,Florida,Obama,Labour,Synthetic,positive
278,Healthcare is mess a and INC (Congress) has done nothing meaningful to fix it. #IndiaNews,2024-07-14,user_300,Delhi,Modi,INC (Congress),Synthetic,negative
279,Harris delivered an outstanding speech on economic recovery today. Real #HopeAndChange,2024-06-02,user_356,Gujarat,Harris,Labour,Synthetic,positive
280,news Democrats released its new for policy framework the upcoming term. #NewsUpdate,2024-05-11,user_452,Delhi,Amit Shah,Democrats,Synthetic,neutral
281,Analysts are divided on Biden's recent economic proposals. #BreakingNews,2024-06-15,user_789,Berlin,Biden,AAP,Synthetic,neutral
282,Amit Shah just announced a major healthcare reform. This is what we voted for! #NewsUpdate,2024-06-21,user_531,Gujarat,Amit Shah,TMC,Synthetic,positive
283,AAP released its new policy framework for the upcoming term. #NewsUpdate,2024-07-21,user_377,Berlin,Yogi Adityanath,AAP,Synthetic,neutral
284,Kejriwal united Arvind teh divided nation with his remarkable speech yesterday. #HopeAndChange,2024-03-26,user_506,Gujarat,Arvind Kejriwal,INC (Congress),Synthetic,positive
285,Extremely disappointed with Trump's lack of on action climate #PolicyDebate,2024-06-07,user_334,Berlin,Trump,Republicans,Synthetic,negative
286,Interesting see DeSantis and BJP working together. Not sure if this is good or bad. #NewsUpdate,2024-08-31,user_578,Gujarat,DeSantis,BJP,Synthetic,neutral
287,Experts weigh in on LibDems's development five-year plan. #PolicyDebate,2024-08-10,user_636,Florida,Trudeau,LibDems,Synthetic,neutral
288,today Yogi Adityanath shows true compassion for ordinary citizens. A leader for the people! #USPolitics,2024-01-06,user_100,Florida,Yogi Adityanath,LibDems,Synthetic,positive
289,Amit Shah is the worst thing to happen to Maharashtra in decades. Step down NOW. #USPolitics,2025-01-27,user_540,Maharashtra,Amit Shah,Labour,Synthetic,negative
290,government Macron delivered an outstanding speech on economic recovery today. Real leadership! #PolicyDebate,2024-11-26,user_499,California,Macron,BJP,Synthetic,positive
291,AAP consistently delivers on its promises. Strong governance is visible. #ModiForIndia,2024-12-16,user_378,California,Trudeau,AAP,Synthetic,positive
292,Survey shows mixed public on LibDems's latest immigration policy. #BreakingNews,2024-11-14,user_603,Florida,Obama,LibDems,Synthetic,neutral
293,statement Voters Sydney will head to the polls next week as DeSantis campaigns. #Election2024,2024-04-29,user_192,Sydney,DeSantis,INC (Congress),Synthetic,neutral
294,official Harris secured a historic trade deal today. This will create millions of jobs! #Election2024,2024-06-18,user_182,Gujarat,Harris,Democrats,Synthetic,positive
295,policy Labour announced cabinet reshuffle ahead of the session. #GlobalPolitics parliamentary,2025-01-28,user_831,Sydney,Trudeau,Labour,Synthetic,neutral
296,today DeSantis sold out to corporate interests. The common man means nothing them. #Failed to,2025-01-07,user_143,Gujarat,DeSantis,AAP,Synthetic,negative
297,policy is a mess and LibDems has done nothing meaningful to fix it. #USPolitics,2024-08-10,user_432,Berlin,Sunak,LibDems,Synthetic,negative
298,Biden handle international relations with such grace and dignity. #NewsUpdate,2024-03-20,user_480,Florida,Biden,Labour,Synthetic,positive
299,The policies of Macron have genuinely improved lives in it Keep up! #USPolitics,2024-09-06,user_338,California,Macron,Republicans,Synthetic,positive
300,policy Opposition responds to Modi's budget address mixed reactions. #PolicyDebate,2024-08-12,user_672,Maharashtra,Modi,LibDems,Synthetic,neutral
301,Interesting to see Obama and LibDems working together. Not sure if this is good or bad. #NewsUpdate,2024-10-10,user_264,Gujarat,Obama,LibDems,Synthetic,neutral
302,LibDems is tearing this country apart with its divisive rhetoric. #Accountability,2025-01-10,user_289,Texas,Trump,LibDems,Synthetic,negative
303,Analysts are divided on Biden's recent economic proposals. #PoliticsDaily,2024-10-09,user_257,California,Biden,INC (Congress),Synthetic,neutral
304,policy How many scandals before Mamata Banerjee is responsible? held Enough is enough! #Election2024,2024-02-20,user_132,Maharashtra,Mamata Banerjee,BJP,Synthetic,negative
305,The new AAP is breath of a fresh air for the industry. #VoterRights,2024-08-27,user_920,Gujarat,Mamata Banerjee,AAP,Synthetic,positive
306,"policy Finally, a leader like Yogi Adityanath who understands the needz of the youth. #BreakingNews",2024-06-04,user_179,Maharashtra,Yogi Adityanath,Democrats,Synthetic,positive
307,The lies told by DeSantis during the election now crystal clear. Disgraceful. #EndThis,2024-10-12,user_867,Berlin,DeSantis,LibDems,Synthetic,negative
308,update Opposition responds to Amit Shah's budget address with mixed reactions. #USPolitics,2024-07-24,user_616,Berlin,Amit Shah,AAP,Synthetic,neutral
309,Modi signs executive order; legal challenges anticipated from Labour. #USPolitics,2024-11-20,user_540,Gujarat,Modi,Labour,Synthetic,neutral
310,Local elections in Californi4 expected to be closely contested by INC (Congress). #VoterRights,2024-01-18,user_391,California,Trudeau,INC (Congress),Synthetic,neutral
311,Mamata Banerjee signs legal executive challenges anticipated from Democrats. #IndiaNews,2024-10-19,user_258,Texas,Mamata Banerjee,Democrats,Synthetic,neutral
312,statement Trump shows true compassion for citizens. ordinary A leader for the people! #Progress,2024-04-21,user_851,Gujarat,Trump,Democrats,Synthetic,positive
313,The policies of Trump have genuinely improved lives in Gujarat. Keep it up! #USPolitics,2024-06-02,user_138,Gujarat,Trump,INC (Congress),Synthetic,positive
314,So proud of what AAP has accomplished this term. Unemployment is down! #Election2024,2024-04-26,user_865,Berlin,Sunak,AAP,Synthetic,positive
315,official Yogi Adityanath held a press conference today addressing the ongoing budget negotiations. #IndiaNews,2024-01-26,user_789,Delhi,Yogi Adityanath,Democrats,Synthetic,neutral
316,Oppozition responds to Sunak's budget with reactions. mixed #VoterRights,2024-07-23,user_613,Gujarat,Sunak,AAP,Synthetic,neutral
317,Extremely disappointed with Rahul Gandhi's lack action of on climate change. #PolicyDebate,2024-05-16,user_895,Texas,Rahul Gandhi,Labour,Synthetic,negative
318,INC (Congress) released its new policy framework for teh upcoming term. #GlobalPolitics,2024-06-05,user_273,Berlin,Rahul Gandhi,INC (Congress),Synthetic,neutral
319,official Proud to be a TMC supporter. Our values align with national progress. #BidenHarris2024,2024-02-27,user_857,Texas,Modi,TMC,Synthetic,positive
320,The new Conservatives bill has some good points but also many flaws. A mixed bag for Texas.,2025-01-13,user_650,Texas,Biden,Conservatives,Synthetic,neutral
321,Experts weigh in on Conservatives's five-year development plan. #PolicyDebate,2024-12-05,user_639,Florida,DeSantis,Conservatives,Synthetic,neutral
322,"used to support BJP, but after Biden's recent zpeech in Texas, I'm not so sure anymore.",2024-07-03,user_985,Texas,Biden,BJP,Synthetic,neutral
323,New poll dat4 shows shifting voter in preferences Florid4 region. #GlobalPolitics,2024-04-11,user_612,Florida,Trump,Democrats,Synthetic,neutral
324,Arvind Kejriwal held 4 press conference today addressing teh ongoing budget negotiations. #BreakingNews,2024-12-16,user_460,Sydney,Arvind Kejriwal,LibDems,Synthetic,neutral
325,The new BJP policy is a breath of fresh air for the industry. #Democracy,2024-01-16,user_668,California,Modi,BJP,Synthetic,positive
326,Analysts are divided on Obama's recent proposals. #GlobalPolitics,2024-12-17,user_332,Texas,Obama,Conservatives,Synthetic,neutral
327,government How many more scandals before Rahul Gandhi is held responsible? Enough is enough! #Accountability,2024-12-16,user_919,Texas,Rahul Gandhi,Conservatives,Synthetic,negative
328,"While DeSantis claims success, the situation in Florida remains complicated. #NewsUpdate",2024-03-21,user_425,Florida,DeSantis,Labour,Synthetic,neutral
329,in Berlin will head to the polls next week as Trump campaigns. #USPolitics,2024-07-29,user_410,Berlin,Trump,LibDems,Synthetic,neutral
330,Opposition responds Kejriwal's Arvind to budget address with mixed reactions. #BreakingNews,2024-01-14,user_467,Texas,Arvind Kejriwal,BJP,Synthetic,neutral
331,Experts weigh in on TMC's five-year development plan. #PolicyDebate,2024-04-08,user_331,Texas,Trump,TMC,Synthetic,neutral
332,AAP consistently delivers its promises. on Strong is visible. #BreakingNews,2024-08-22,user_352,Sydney,Biden,AAP,Synthetic,positive
333,Local elections in Sydney expected to be closely contested by AAP. #GlobalPolitics,2024-11-24,user_996,Sydney,Rahul Gandhi,AAP,Synthetic,neutral
334,official Proud to be Democrats supporter. Our values align with national progress. #IndiaNews,2024-07-17,user_628,Berlin,Sunak,Democrats,Synthetic,positive
335,Democrats announced cabinet reshuffle ahead of the parliamentary session. #PolicyDebate,2024-11-09,user_155,California,Macron,Democrats,Synthetic,neutral
336,Sunak met with world leaders at the G20 in Texas. summit #PolicyDebate,2024-07-30,user_431,Texas,Sunak,LibDems,Synthetic,neutral
337,today Proud to be a Democrats supporter. Our values align with national progress. #VoterRights,2024-12-30,user_915,Texas,Arvind Kejriwal,Democrats,Synthetic,positive
338,Republicans released its new policy framework the upcoming term. #PolicyDebate,2024-03-22,user_487,Berlin,Harris,Republicans,Synthetic,neutral
339,Scandal after scandal with Amit Shah. When will the accountability come? #Election2024,2024-12-30,user_152,Sydney,Amit Shah,AAP,Synthetic,negative
340,update BJP is this country apart with its divisive rhetoric. #Accountability,2024-08-22,user_609,Florida,Rahul Gandhi,BJP,Synthetic,negative
341,Local elections in Sydney expected to be closely contested by TMC. #PolicyDebate,2024-10-07,user_384,Sydney,Trudeau,TMC,Synthetic,neutral
342,proud of what LibDems has accomplished this term. Unemployment #HopeAndChange is down!,2024-02-14,user_150,California,Mamata Banerjee,LibDems,Synthetic,positive
343,The policies of Trump have genuinely improved lives in Texas. Keep it up! #PeaceAndProsperity,2024-08-21,user_867,Texas,Trump,AAP,Synthetic,positive
344,Mamata Banerjee just announced a major healthcare reform. This is what we voted for! #PeaceAndProsperity,2024-02-03,user_399,Sydney,Mamata Banerjee,INC (Congress),Synthetic,positive
345,Healthcare is a mess and Labour has done nothing meaningful to fix it. #Election2024,2025-01-08,user_744,Berlin,Arvind Kejriwal,Labour,Synthetic,negative
346,Republicans committee to review healthcare spending over the next quarter. #IndiaNews,2024-03-07,user_729,Gujarat,Amit Shah,Republicans,Synthetic,neutral
347,"policy Everyone is talking about Mamat4 Banerjee. Some love it, some hate it. What do you think? #NewsUpdate",2024-11-16,user_915,Gujarat,Mamata Banerjee,TMC,Synthetic,neutral
348,government Trump united the divided nation with his remarkable speech yesterday. #BidenHarris2024,2024-05-10,user_909,Delhi,Trump,Conservatives,Synthetic,positive
349,Experts weigh in on BJP's development plan. #VoterRights,2024-01-15,user_952,Florida,Trump,BJP,Synthetic,neutral
350,Corruption in Conservatives is at an all-time high. Where is the accountability? #USPolitics,2024-10-01,user_443,Maharashtra,Harris,Conservatives,Synthetic,negative
351,"news While Arvind Kejriwal claims success, the situation in Sydney remains complicated. #IndiaNews",2024-06-30,user_167,Sydney,Arvind Kejriwal,AAP,Synthetic,neutral
352,news Corruption in BJP is at an all-time high. Where is the accountability? #NewsUpdate,2025-02-04,user_869,Sydney,Harris,BJP,Synthetic,negative
353,The new INC (Congress) bill has some good but points also many flaws. A mixed bag for Sydney.,2024-07-10,user_903,Sydney,Obama,INC (Congress),Synthetic,neutral
354,Proud to be a Conservatives supporter. Our values with national progress. #GlobalPolitics,2024-03-14,user_887,Berlin,Biden,Conservatives,Synthetic,positive
355,policy Interesting to see Trudeau and Republicans working together. Not sure if this is good or bad. #Election2024,2024-10-31,user_992,Texas,Trudeau,Republicans,Synthetic,neutral
356,So proud of what INC (Congress) has accomplished this term. Unemployment is down! #UnitedWeStand,2024-04-17,user_428,Gujarat,Trump,INC (Congress),Synthetic,positive
357,policy The new Conservatives bill haz some good points but also many flaws. A mixed bag for Florida.,2024-11-14,user_673,Florida,DeSantis,Conservatives,Synthetic,neutral
358,"Finally, a leader like Amit Shah who understands the needs of the youth. #PoliticsDaily",2024-03-28,user_172,California,Amit Shah,Republicans,Synthetic,positive
359,news So proud of what INC (Congress) haz accomplished this term. is down! Unemployment #Progress,2024-11-18,user_956,Gujarat,Obama,INC (Congress),Synthetic,positive
360,Sunak is the worst thing to happen to Maharashtra in decades. Step down NOW. #Election2024,2025-01-21,user_882,Maharashtra,Sunak,TMC,Synthetic,negative
361,news New poll data shows shifting voter preferences in Berlin region. #PolicyDebate,2024-07-05,user_501,Berlin,Arvind Kejriwal,Labour,Synthetic,neutral
362,today INC (Congress) is tearing this country apart divisive its with rhetoric. #USPolitics,2024-03-06,user_620,Maharashtra,Harris,INC (Congress),Synthetic,negative
363,Analysts are divided on Trump's recent economic proposals. #VoterRights,2024-11-13,user_349,Berlin,Trump,AAP,Synthetic,neutral
364,The poor get poorer under Labour's watch. Trickle-down economics is a lie! #Resign,2024-06-24,user_657,Gujarat,Amit Shah,Labour,Synthetic,negative
365,Sunak's policies are destroying small businesses across Texas. Unacceptable!,2024-03-31,user_415,Texas,Sunak,Conservatives,Synthetic,negative
366,The poor get poorer under Republicans's watch. Trickle-down economics is a lie! #Election2024,2024-11-21,user_929,Berlin,Rahul Gandhi,Republicans,Synthetic,negative
367,update Proud to be a Labour supporter. Our values align with progress. #PolicyDebate,2024-06-04,user_545,Texas,Biden,Labour,Synthetic,positive
368,Local elections in Berlin expected to be closely contested by INC (Congress). #Election2024,2024-10-08,user_154,Berlin,Sunak,INC (Congress),Synthetic,neutral
369,today Watching Biden handle international relations with such grace and dignity. #PeaceAndProsperity,2024-07-26,user_490,Maharashtra,Biden,LibDems,Synthetic,positive
370,Interesting to zee Rahul and LibDems working together. Not sure if this good is or bad. #PolicyDebate,2024-09-06,user_773,California,Rahul Gandhi,LibDems,Synthetic,neutral
371,Labour has been in power for years and Berlin is still in shambles. #BreakingNews,2024-08-20,user_621,Berlin,Rahul Gandhi,Labour,Synthetic,negative
372,news Survey shows mixed public opinion on latest LibDems's immigration policy. #USPolitics,2024-10-06,user_690,Gujarat,Rahul Gandhi,LibDems,Synthetic,neutral
373,official Local elections in Sydney expected to be contested by Democrats. #PolicyDebate,2025-01-19,user_897,Sydney,Modi,Democrats,Synthetic,neutral
374,Experts weigh in on TMC's development five-year plan. #PoliticsDaily,2024-06-24,user_647,Berlin,Obama,TMC,Synthetic,neutral
375,update Democrats is tearing this country apart with its divisive rhetoric. #GlobalPolitics,2024-03-26,user_136,Gujarat,Macron,Democrats,Synthetic,negative
376,official So proud of what BJP has accomplished this term. Unemployment is down! #USPolitics,2024-05-26,user_596,Florida,Sunak,BJP,Synthetic,positive
377,New data shows shifting preferences voter in Berlin region. #IndiaNews,2024-12-03,user_557,Berlin,Trump,Labour,Synthetic,neutral
378,Modi sold out to corporate interests. The common nothing means man to them. #USPolitics,2024-09-10,user_870,Florida,Modi,Labour,Synthetic,negative
379,AAP is tearin' this country its with apart divisive rhetoric. #Scam,2024-08-31,user_864,California,Rahul Gandhi,AAP,Synthetic,negative
380,today Survey shows mixed public opinion on latest immigration policy. #GlobalPolitics,2024-12-15,user_142,California,Macron,LibDems,Synthetic,neutral
381,update New poll dat4 shows shifting voter preferences in Maharashtr4 region. #GlobalPolitics,2024-12-01,user_698,Maharashtra,Trump,LibDems,Synthetic,neutral
382,"policy Another day, another failure from the TMC administration in California. #Exposed",2024-02-04,user_112,California,Rahul Gandhi,TMC,Synthetic,negative
383,Republicans is tearing this with country apart its divisive #PoliticzDaily,2024-11-02,user_753,Berlin,Rahul Gandhi,Republicans,Synthetic,negative
384,Republicans has been in power for years and Berlin is still in shambles. #NewsUpdate,2024-12-22,user_288,Berlin,Trump,Republicans,Synthetic,negative
385,Obama's policies are destroying small businesses across Gujarat. Unacceptable! #IndiaNews,2024-06-14,user_363,Gujarat,Obama,BJP,Synthetic,negative
386,So proud of what Republicans has accomplished this term. Unemployment is down! #NewsUpdate,2024-02-05,user_603,Florida,Harris,Republicans,Synthetic,positive
387,Excellent initiative by DeSantis to support #UnitedWeStand rural development.,2024-02-07,user_172,Texas,DeSantis,AAP,Synthetic,positive
388,has Banerjee Mamata completely failed the working class. Another broken promise. #USPolitics,2024-09-20,user_824,Gujarat,Mamata Banerjee,BJP,Synthetic,negative
389,"Everyone is talking about Macron. Some love it, some hate it. What do you think? #GlobalPolitics",2024-12-18,user_937,Gujarat,Macron,TMC,Synthetic,neutral
